Summary for Run 03_0-10_duopoly

100 % price-aware
Playing against undercutting competitor



Statistics for one deterministic simulation episode

                                Property       Sum        Mean       Std         Min        Median          Max

                        i0_n_price-aware   3469.00       99.11     33.24        46.00        91.00       164.00
                        i1_n_price-aware   3365.00       96.14     32.38        49.00        94.00       158.00
                i0_n_price-aware_waiting   2034.00       58.11     50.06         0.00        62.00       145.00
                    i0_n_price-aware_buy   1324.00       37.83     54.08         0.00         0.00       164.00
         i0_n_price-aware_competitor_buy      0.00        0.00      0.00         0.00         0.00         0.00
        i0_price-aware_competitor_reward      0.00        0.00      0.00         0.00         0.00         0.00
          i0_price-aware_reference_price     17.25        0.49      0.15         0.37         0.43         0.86
                   i0_price-aware_reward    890.75       25.45     40.98         0.00         0.00       127.04
                i1_n_price-aware_waiting   5241.00      149.74     64.70        52.00       142.00       278.00
                    i1_n_price-aware_buy      0.00        0.00      0.00         0.00         0.00         0.00
         i1_n_price-aware_competitor_buy      0.00        0.00      0.00         0.00         0.00         0.00
        i1_price-aware_competitor_reward      0.00        0.00      0.00         0.00         0.00         0.00
          i1_price-aware_reference_price     19.02        0.54      0.20         0.37         0.49         1.00
                   i1_price-aware_reward      0.00        0.00      0.00         0.00         0.00         0.00
                    i0_agent_offer_price     43.26        1.24      0.58         0.37         1.37         2.26
                    i1_agent_offer_price     43.26        1.24      0.58         0.37         1.37         2.26
                         i0_total_reward    890.75       25.45     40.98         0.00         0.00       127.04
                         i1_total_reward      0.00        0.00      0.00         0.00         0.00         0.00
               i0_competitor_offer_price     35.31        1.01      0.04         1.00         1.00         1.26
               i1_competitor_offer_price     35.31        1.01      0.04         1.00         1.00         1.26
              i0_total_competitor_reward      0.00        0.00      0.00         0.00         0.00         0.00
              i1_total_competitor_reward      0.00        0.00      0.00         0.00         0.00         0.00
                       agent_offer_price     86.52        1.24      0.58         0.37         1.37         2.26
                  competitor_offer_price     70.62        1.01      0.04         1.00         1.00         1.26
                            total_reward    890.75       12.72     31.65         0.00         0.00       127.04
                 total_competitor_reward      0.00        0.00      0.00         0.00         0.00         0.00
                      price-aware_reward    890.75       12.72     31.65         0.00         0.00       127.04
           price-aware_competitor_reward      0.00        0.00      0.00         0.00         0.00         0.00
                       n_price-aware_buy   1324.00       18.91     42.66         0.00         0.00       164.00
            n_price-aware_competitor_buy      0.00        0.00      0.00         0.00         0.00         0.00
                           n_price-aware   6834.00       97.63     32.85        46.00        93.50       164.00
             price-aware_reference_price     36.27        0.52      0.18         0.37         0.49         1.00
                   n_price-aware_waiting  14550.00      207.86    111.43        52.00       206.00       423.00

Average Agent Sales Price price-aware: 0.673
Average Offer Price Agent: 1.236
Average Offer Price Competitor: 1.009
