Summary for Run 04_0-10_duopoly

100 % anticipating
Playing against undercutting competitor



Statistics for one deterministic simulation episode

                                Property       Sum        Mean       Std         Min        Median          Max

                       i0_n_anticipating   3506.00      100.17     49.74        22.00        97.00       179.00
                       i1_n_anticipating   3494.00       99.83     50.77        18.00       102.00       176.00
               i0_n_anticipating_waiting   2778.00       79.37     52.21         0.00        80.00       171.00
                   i0_n_anticipating_buy    583.00       16.66     47.26         0.00         0.00       179.00
        i0_n_anticipating_competitor_buy      1.00        0.03      0.17         0.00         0.00         1.00
       i0_anticipating_competitor_reward      1.00        0.03      0.17         0.00         0.00         1.00
         i0_anticipating_reference_price     13.53        0.39      0.34         0.01         0.62         0.83
                  i0_anticipating_reward    417.96       11.94     36.87         0.00         0.00       148.28
               i1_n_anticipating_waiting   5546.00      158.46    104.57         0.00       165.00       319.00
                   i1_n_anticipating_buy    575.00       16.43     46.77         0.00         0.00       176.00
        i1_n_anticipating_competitor_buy      0.00        0.00      0.00         0.00         0.00         0.00
       i1_anticipating_competitor_reward      0.00        0.00      0.00         0.00         0.00         0.00
         i1_anticipating_reference_price     14.35        0.41      0.34         0.01         0.62         0.83
                  i1_anticipating_reward    410.95       11.74     36.64         0.00         0.00       145.79
                    i0_agent_offer_price     44.15        1.26      0.49         0.01         1.20         2.10
                    i1_agent_offer_price     44.15        1.26      0.49         0.01         1.20         2.10
                         i0_total_reward    417.96       11.94     36.87         0.00         0.00       148.28
                         i1_total_reward    410.95       11.74     36.64         0.00         0.00       145.79
               i0_competitor_offer_price     35.23        1.01      0.02         1.00         1.00         1.10
               i1_competitor_offer_price     35.23        1.01      0.02         1.00         1.00         1.10
              i0_total_competitor_reward      1.00        0.03      0.17         0.00         0.00         1.00
              i1_total_competitor_reward      0.00        0.00      0.00         0.00         0.00         0.00
                       agent_offer_price     88.30        1.26      0.49         0.01         1.20         2.10
                  competitor_offer_price     70.45        1.01      0.02         1.00         1.00         1.10
                            total_reward    828.91       11.84     36.76         0.00         0.00       148.28
                 total_competitor_reward      1.00        0.01      0.12         0.00         0.00         1.00
                     anticipating_reward    828.91       11.84     36.76         0.00         0.00       148.28
          anticipating_competitor_reward      1.00        0.01      0.12         0.00         0.00         1.00
                      n_anticipating_buy   1158.00       16.54     47.01         0.00         0.00       179.00
           n_anticipating_competitor_buy      1.00        0.01      0.12         0.00         0.00         1.00
                          n_anticipating   7000.00      100.00     50.26        18.00        99.50       179.00
            anticipating_reference_price     27.88        0.40      0.34         0.01         0.62         0.83
                  n_anticipating_waiting  16648.00      237.83    156.53         0.00       250.00       490.00

Average Agent Sales Price anticipating: 0.716
Average Offer Price Agent: 1.261
Average Offer Price Competitor: 1.006
